title,equipment
dver-asd-arktika-termo-s-oknom-i-angliiskoi-reshetkoi,Задвижка: Квадратная чёрная; Замок основной: Гардиан 30.11; Замок дополнительный: Гардиан 30.01
dver-labirint-piano-s-zerkalom-maksimum-tsvet-belyi-soft,Задвижка: Чёрная квадратная; Ручки: H-0593; Замок основной: Kale 252; Конструкция: Лабиринт Piano; Замок дополнительный: Kale 257; Глазок: Глазок со шторкой; Цилиндр: перфорированный ключ-вертушка; Броненакладка: Врезная
dver-strazh-sibir-3k-morozostoikaia-s-termo-razryvom-tsvet-gretskii-orekh,Петли: 3 петли на подшипниках; Ручки: Rezident 26; Задвижка: Apecs; Замок основной: Гардиан 30.15; Конструкция: Термо Сибирь; Замок дополнительный: Гардиан 30.01
dver-rex-13-titan-fl-33-tsvet-silk-snou,Замок дополнительный: Border ЗВ 8-6 К5; Глазок: Apecs; Ручки: Rezident 26; Замок основной: Kale 252; Задвижка: Apecs; Цилиндр: перфорированный ключ-вертушка; Броненакладка: Врезная; Конструкция: Cенатор
dver-asd-aliaska-termo-s-oknom-i-lazernoi-rezkoi,Замок дополнительный: Galeon 817; Замок основной: Galeon 816; Ручки: H-0593; Задвижка: Apecs; Цилиндр: перфорированный ключ-вертушка; Броненакладка: Врезная
dver-asd-arktika-termo,Задвижка: Квадратная чёрная; Замок дополнительный: Galeon 817; Замок основной: Galeon 818
