Хочу выразить Благодарность компании, но больше всего мы работали с Натальей. Она ответственно относиться к своей работе, очень внимательная и вежливая к заказчикам. Мы не сразу определились какие нам нужны двери и Наталья нам всё посоветовала и порекомендовала по цене и качеству. Мы остались очень довольны!Сейчас у нас самые красивы двери! Всём рекомендуем и будем ещё обращаться.
Запрос: нестандартные двери высотой 2.8. Да, ждали их с завода, но после установки в восторге, никогда такие высокие двери не покупал, но я нахожусь до сих пор под впечатлением. Точно будем друзьям рекомендовать)
Недавно купили в Белвуд двери. Менеджер на Абая помогла с выбором, все быстро рассчитала. Понравилось, что очень большой выбор дверей в салоне, есть из чего выбрать. Еще и с установщиками помогли, подсказали. Пока дверями довольны!
Заказывал 3 двери с фрамугами) Очень понравился внешний вид и качество - лучший выбор цена -качество на рынке.
Покупали двери дочке в квартиру, здесь все было в наличии ждать ничего не надо. хорошие двери, все довольны
Выбрали эту фирму, когда делали ремонт в квартире, и не пожалели ни о чем. Быстрая доставка, бесплатный замер по городу, клиентоориентрированные сотрудники - все вело к покупке, поэтому не было никаких сомнений. Спасибо за качественный товар!
Хочется выразить огромную благодарность за двери! За качественную и быструю работу, начиная с помощи в подборе вариантов, заканчивая установкой! Все очень быстро удобно и приятно в итоге вышло! Прошло 2 месяца, мы очень довольны!
Покупал маме в квартиру здесь двери. Она довольна и качеством , и ценой. Пока стоят не долго, но пока никаких недочетов не было выявлено. Ставлю 5 звезд!
Дизайнер посоветовала эту компанию. Двери которые мы хотели оказались заказными, ну время было у нас. Приехали на замер бесплатный, и двери тоже привезли бесплатно, по изготовлению вопросов нет
Затеяли с мужем ремонт в квартире. Понадобилось три двери, при том, чтобы одни были с прозрачной застекленной частью. При этом нужно было подобрать подходящий под интерьер цвет, а еще провести замеры и установить их. Данную компанию нашли в интернете. Порадовал большой ассортимент, так что не возникло проблем с подбором подходящих вариантов. После общения с менеджером сразу стало ясно, что мы не зря выбрали эту компанию. Все установили очень быстро и за недорогую плату. В целом очень приятные впечатления от сервиса.
Нужны было срочно поменять двери, высота 2.3, здесь были в наличии, заказали Кремону, красивые двери!
Хочу поблагодарить менеджера в салоне по Абая, приехал туда вообще ничего не знал о дверях, но меня встретили и все разложили по полочкам. Помогли выбрать двери, вызвали замерщика на дом. Как итог: красивые двери и довольная семья. Спасибо !
Квартира стала светлейРешила обновить интерьер в квартире, добавить что-то не обычное. Искал остекленные межкомнатные двери,чтобы были качественные и не дорогие. Долго искал по магазинам, пока не наткнулся на этот. Большой выбор дверей на разный вкус и цвет,что самое главное для меня, хорошая цена. Консультант быстро подобрал дверь под мою стилистику. Дверь встала как родная.
Нашли этот магазин случайно, когда ездили выбирать материалы. Здесь был выбор из наличия поэтому и заказали. Качество и обслуживание хорошее
Взяли здесь двери по совету друзей, нам надо было 10 дверей в частный дом. Много времени выбирать не было, поэтому мы сразу приехали в салон, все посмотрели и выбрали двери. Конечно сначала сделали замер, потом все нам быстро посчитали и выставили счет. Очень оперативно решили нашу потребность, будем еще обращаться!
Доброго времени суток всем, кто читает данный отзыв, посвящённый входной двери с зеркалом Старт. Прежде чем приобрести дверь с зеркалом, я долго сомневался. Было боязно, не треснет ли зеркало при постоянном закрывании двери. А не дай бог кто-нибудь хлопнет. Но, преодолев все свои страхи, я решился и купил дверь Старт.  на зеркале ни царапинки, ни трещинки.
Нам посоветовали друзья обратиться в Белвуд за дверями. Приехали в салон, на месте сотрудник все рассказал, показал. Выбрали и рассчитали двери, в итоге получилось купить с очень хорошей скидкой.
Очень доволен надежностью и элегантным дизайном. Идеальное сочетание цена и качество
Хочу оставить отзыв о самой лучшей фирме в которую мне по воле судьбы пришлось обратиться, в итоге осталась довольна на 1000% и не разу не пожалела, шикарнейшее, вежливейшее отношение сотрудников начиная с салона, потом звонили девочки с контакт-центра , такие милые, вежливые, всё разьяснили, назначили, замер, монтаж, всё чётко, монтаж и замер были выполнены тоже на высшем уровне, до сих пор каждый день улыбаюсь открывая и закрывая дверь)
Спасибо Егору Кузнецову за помощь в решение возникшей проблемы .с уважением
Хотела бы выразить огромную благодарность сотрудникам компании Belwooddoors. Менеджер салона Татьяна помогла с выбором модели, цвета, покрытия дверей, организовала выезд замерщика и своевременное выполнение моего заказа. Я осталась очень довольна безупречным качеством дверей, неповторимым дизайном, внимательным отношением к клиентам. Буду рекомендовать компанию BELWOODDOORS всем моим друзьям и знакомым.
Всем добрый день. Первая покупка в этом магазине, и мне понравился сервис, поэтому решили оставить отзыв, были на Кабанбай батыра 13, в этом же доме я и живу)С менеджером долго консультировались, вес никаких из большого ассортимента не могли выбрать. В итоге, все же определились и сделали заказ. В согласованный день, заранее отзвонившись приехал курьер. Так же уделил мне много времени, и пока я не убедилась в том, что мне привезли нужный товар, не уехал. Довольны. Спасибо Вам.
Как и у многих высота дверей нужна была 2.2, тут в наличии как раз такой размер был, и довольно широкий выбор. Жена выбрала Ламиру. Качество понравилось, по сумме тоже хорошо, т.к. попали на скидки. Всем довольны
Хочу выразить благодарность менеджерам салона на Богенбай Батыр. Ходил по  точкам дверей и заметил Вашу. Менеджер хорошо все рассказал и показал. Быстро посчитал дверь которую я выбрал и учел все пожелания по фурнитуре. О самих дверях можно сказать что отличные по качеству и красивые - Палаццо 2. Понравилась скорость с которой сделали мой заказ. А также приятная скидка. Думаю будем еще не раз обращаться к Вам т.к. нужны двери сыну и дочке.
Покупал братишке двери, у него свадьба была, решил сделать такой подарок.  Т.к. ремонт делали в дизайне  классика, то понравились ему Палаццо модель. Быстро посчитали по цене, и повезло что были на складе. Идеально вписались в квартиру. А отличный дизайн в покрытии влагостойком эмаль стал просто подарком. В будущем в планах себе в квартиру покупать. Еще обращусь. И спасибо Менеджерам с салона по Богебай Батыра. 16
Хочу поделится  впечатлением от Ваших дверей.  Долго выбирали качественные двери  в эмали по приемлемой цене . Сестра посоветовала обратиться к Вам. И ни капли я не пожалела. Понравилась модель Лайнвуд. Приятные цвета в сочетании с натуральным шпоном очень подошли к нашему интерьеру. Да, срок был изготовления 2 месяца, но ради такой красоты и качества можно и подождать, Установку тоже сделали качественно. Спасибо менеджерам с Жандосова за хорошую работу
Нужны были срочно двери в квартиру.Сделали заказ на сайте, перезвонили и уточнили детали.Очень понравилось что сразу по телефону все рассказали. Замер бесплатный в Астане, поэтому решили что надо перестраховаться, размеры стандартные в наличии была наша дверь Роялти. Очень довольны!
Хочу посоветовать всем, кто еще не купил двери, обратиться в эту компанию! Двери у них просто супер, качество на высоте, очень большой выбор дизайна. Сами приобретали здесь Палаццо 1 модель, просто глаз не оторвать с них! Все довольны остались в конце, и смонтировали хорошо. Спасибо вам!
Мои новые межкомнатные двери от просто великолепны! Они сочетают в себе красивый дизайн и высокое качество. Двери отлично изолируют шум, что создает тихую и комфортную атмосферу в моем доме. Очень доволен этой покупкой!
Хочу сказать большое спасибо, за быструю организацию при оформлении. Выбирал для  дачи. Отлично подошли двери по суперценам -  подобрали модель Селби , понравилась тем что  теплая дверь и в эмали. Спасибо за быструю доставку, думаю еще буду обращаться
Братишка здесь двери брал, ну и я решил съездить посмотреть, что вообще предлагают. В салоне по Жандосова большой выбор, там в принципе мы с супругой и выбрали двери Палаццо. Качество просто огонь, а смотрятся как богато в доме. Все гости хвалят. Обратимся ещё обязательно позже, когда будем делать ремонт в новой квартире!
Самый крутой салон в городе! Заказывал 5 межкомнатных и входную дверь, все сделали во время, качество отличное, выбирал с итальянской магнитной фурнитурой. Серьезная организация, поверьте, есть с кем сравнивать в Астане. Спасибо за работу!
Сестренке на новоселье покупала двери.  Хотели что-то красивое, выбрали модель Палаццо 2, В наличии все было быстро оформились в салоне на Абая. Через день уже привезли. Также посоветовали хороших монтажников, сделали все грамотно и за хорошую цену. Также радует, что есть гарантия после покупки, а не как на базаре купили и потом не докажешь. Спасибо Белвуд еще раз!
Понравилась консультация менеджеров - все понятно и просто объяснили и помогли выбрать нужный мне товар.
Приятно удивлены качеством дверей. Это был отличный выбор для нашего дома. Прочные и стильные, идеально вписались в интерьер. Рекомендую всем. Брали двери в эмали, модель называется Ламира
Очень понравилось обслуживание. Двери красивые и качественные. Привезли и поставили в срок. Мы остались довольны!
Барт младший женился недавно решил сделать ему подарок - ремонт и обновить все в квартире, выбрали с ним Палаццо 3/1 , просто  в восторге от данной модели, звук не пропускают, тепло сохраняют, очень понравилась опция, что завод покрасил в тот цвет, который мы хотели.  Привезли в срок. А  крутые спецы поставили  качественно и за приемлемую цену. Выбирали в Салоне на Мангелике, Спасибо большое менеджерам.  Однозначно еще буду обращаться.
Двери превзошли мои ожидания. Отличный выбор для обновления интерьера. Покупали дверь Палаццо!
Очень долго делали ремонт, сил не оставалось на выбор дверей. Хотели как можно быстрее закончить этот процесс. Случайно увидела в ТЦ салон этой компании, зашли и очень быстро менеджер нас убедил в покупке именно этих дверей. Наконец-то все это закончилось, все быстро приобрели и установили. Пока никаких минусов в дверях и сервисе не обнаружила. Смело советую.
Что понравилось: Великолепное натуральное покрытие, скрытые петли, плинтуса в цвет дверейСпасибо персоналу магазина, особенно менеджеру Ильзату, за то, что помог подобрать безумно красивые двери.
Все понравилось здесь, и двери, и менеджеры. Дали всю информацию по дверям, доставке, оплате. Выбрали модель Роялти, очень красиво смотрится в квартире, ничего лишнего. Буду обращаться еще!
Дочери в квартиру решили купить двери. Очень понравилась модель Палаццо. В салоне они с мужем и выбрали, а я только в интернете посмотрела, что это за двери, так как в магазин не захотела идти. Двери очень красивые, цвет жемчуг - это просто шедевр. Фурнитуру выбрали Эприл в бронзе. Дочь просто в восторге. Менеджеры дали контакты хороших установщиков. Спасибо большое.
Работа качественная!По рекомендации знакомых купил межкомнатные двери в компании «Белвуддорс». Стильный салон, большой выбор моделей, вежливый персонал. Отдельная благодарность менеджеру, терпеливо объясняла мне, что и как. Знакомым, друзьям буду советовать обращаться в эту компанию.
Долго искала двери в дом, чтобы была хорошая, не пропускала холод и тд. Мало, где можно сейчас найти действительно качественную дверь такого плана. Но наконец я натолкнулась в интернете на эту компанию. Позвонила, специалист меня полностью проконсультировал, ответил на все вопросы. Очень понравилось даже отношение к клиенту, что не бросили в таком вопросе. Поэтому записалась на  замер , а потом и заказ оформила. Покупкой довольна!
Сын женился недавно, решили подарком будет ремонт в новую квартиру. И т.к. дизайн  был классика, то очень понравились двери Палаццо. Менеджеры помогли грамотно составить заказ. Повезло что данная модель как мне сказали в наличии. Быстро привезли. Установка тоже на отлично. Спасибо большое. В будущем буду еще обращаться.
Если нужны двери входные или межкомнатные-вам сюда.Сервис ,гарантия,фурнитура и много интересного.
Сколько дверных салонов обошли, но решили все таки остановится именно в этой компании. Двери очень красивые, выбрали для себя в новую квартиру классические белого цвета. Качеством полностью довольны, никаких проблем не возникает. После ремонта пришли гости и сразу начали спрашивать, где брали двери. Всем всё понравилось. Будем вас рекомендовать!
Очень крутые двери! Я в восторге!Заказали входные двери на дачу.Выбирали из нескольких компаний.Остановились на этой.Очень понравилось общение с менеджером, все доходчиво и понятно.
Добрый день. Заказывал двери межкомнатные Кремона 1 и Кремона 2 остекленные. Хочу поблагодарить магазин за хорошую (отличную) работу, внимательное отношение к клиенту. Особо хочу отметить доставку дверей, доставили даже раньше оговоренного срока за что отдельное спасибо. Все время исполнения заказа магазин был на связи, всегда информировал о движении моего заказа. Отдельно хочу поблагодарить монтажника ( установщика) дверей, я давно не видел такого профессионала, двери установлены просто супер, качество установки отличное. Пользуется только профессиональным инструментом ( некоторое вещи и не видел даже раньше). Желаю магазину и дальше держать марку и побольше клиентов!
